,id,email,usuario,password,activo,perfil,nombres,apellido,dni,telefono
0,1,user1@example.com,user1,password123,1,propietario,Nombre1,Apellido1,00000001,1234-560001
1,2,user2@example.com,user2,password123,1,propietario,Nombre2,Apellido2,00000002,1234-560002
2,3,user3@example.com,user3,password123,1,propietario,Nombre3,Apellido3,00000003,1234-560003
3,4,user4@example.com,user4,password123,1,propietario,Nombre4,Apellido4,00000004,1234-560004
4,5,user5@example.com,user5,password123,1,propietario,Nombre5,Apellido5,00000005,1234-560005
5,6,user6@example.com,user6,password123,1,propietario,Nombre6,Apellido6,00000006,1234-560006
6,7,user7@example.com,user7,password123,1,propietario,Nombre7,Apellido7,00000007,1234-560007
7,8,user8@example.com,user8,password123,1,propietario,Nombre8,Apellido8,00000008,1234-560008
8,9,user9@example.com,user9,password123,1,propietario,Nombre9,Apellido9,00000009,1234-560009
9,10,user10@example.com,user10,password123,1,propietario,Nombre10,Apellido10,00000010,1234-560010
10,11,user11@example.com,user11,password123,1,propietario,Nombre11,Apellido11,00000011,1234-560011
11,12,user12@example.com,user12,password123,1,propietario,Nombre12,Apellido12,00000012,1234-560012
12,13,user13@example.com,user13,password123,1,propietario,Nombre13,Apellido13,00000013,1234-560013
13,14,user14@example.com,user14,password123,1,propietario,Nombre14,Apellido14,00000014,1234-560014
14,15,user15@example.com,user15,password123,1,propietario,Nombre15,Apellido15,00000015,1234-560015
15,16,user16@example.com,user16,password123,1,propietario,Nombre16,Apellido16,00000016,1234-560016
16,17,user17@example.com,user17,password123,1,propietario,Nombre17,Apellido17,00000017,1234-560017
17,18,user18@example.com,user18,password123,1,propietario,Nombre18,Apellido18,00000018,1234-560018
18,19,user19@example.com,user19,password123,1,propietario,Nombre19,Apellido19,00000019,1234-560019
19,20,user20@example.com,user20,password123,1,propietario,Nombre20,Apellido20,00000020,1234-560020
20,21,user21@example.com,user21,password123,1,propietario,Nombre21,Apellido21,00000021,1234-560021
21,22,user22@example.com,user22,password123,1,propietario,Nombre22,Apellido22,00000022,1234-560022
22,23,user23@example.com,user23,password123,1,propietario,Nombre23,Apellido23,00000023,1234-560023
23,24,user24@example.com,user24,password123,1,propietario,Nombre24,Apellido24,00000024,1234-560024
